最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后加仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
1.25,57.2,B-良好,全天候/牛市可/震荡优,55.3,18.6,19.2,5.6,8.8,5,017482,博时中证全指电力ETF发起式联接C,绿色电力,2023-03-09 ~ 2026-05-08,767,13.04,4.11,23.58,7.2,-10.54,6.64,15.45,2024-07-24,2024-09-11,383,0.82,0.62,0.708,6.1,-5.75,50.5,17,132,67.4,59.0,21.33,-26.35,0.81,0.11,-0.16,44.53,340.88,-294.25,10,20,28.0,99.1,0.9,35.2,24,115,1292.69,10958.27,345.79,11304.06,2,12.2,31.63,0,0,0,5,0.61,-7.15,0,766,1,0,6,2,21,0,0,19,1,0,0,0,0,0,0,2,0,5,9,6,9,28,3,31,1,0,0,0,0,3,2,0,0,1,0,0,21,76.2,35.77,1.7,19,0.0,-306.34,-16.12,0,0,0,0,5,100.0,112.25,22.45,9,66.7,5.97,0.66,6,100.0,176.84,29.47,9,66.7,5.47,0.61,28,82.1,927.01,33.11,3,0.0,-299.59,-99.86,31,83.9,611.42,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,23.89,23.89
1.1,49.3,C-一般,牛市可,58.4,13.2,15.4,7.8,7.9,5,017057,嘉实国证绿色电力ETF发起联接C,绿色电力,2022-12-07 ~ 2026-05-08,828,11.55,3.38,19.77,5.64,-8.22,7.67,13.15,2023-05-29,2024-01-22,284,0.57,0.44,0.672,6.43,-5.91,51.2,16,114,71.1,52.4,18.69,-17.16,1.09,0.08,-2.98,16.53,324.78,-123.97,12,21,38.9,99.3,0.7,34.9,33,75,1153.64,11096.13,59.31,11155.44,2,14.05,26.25,0,0,0,6,-2.5,-6.16,0,827,1,0,7,0,2,0,0,18,0,0,0,0,2,0,0,2,0,6,4,8,17,22,2,32,2,0,0,0,0,2,1,0,0,3,0,0,2,100.0,11.34,5.67,18,0.0,-199.01,-11.06,0,0,0,0,6,100.0,97.93,16.32,4,75.0,0.49,0.12,8,100.0,387.57,48.45,17,76.5,1.28,0.08,22,86.4,184.71,8.4,2,0.0,-161.4,-80.7,32,84.4,816.12,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,14.61,4.87
1.25,45.8,C-一般,牛市可,44.9,9.7,16.4,7.2,7.5,5,018035,国泰国证绿色电力ETF发起联接C,绿色电力,2023-04-11 ~ 2026-05-08,745,7.33,2.42,16.34,5.25,-9.01,7.48,13.78,2023-05-29,2024-01-22,441,0.4,0.32,0.661,6.32,-5.62,50.7,16,130,70.8,50.0,14.67,-34.97,0.42,0.09,-4.72,23.89,320.41,-249.08,9,24,35.8,98.3,1.7,26.2,15,118,720.33,10382.51,350.84,10733.35,1,10.65,13.9,0,0,0,6,-2.91,2.99,0,744,1,0,5,1,13,0,0,16,2,0,1,0,1,0,0,1,0,22,5,3,2,39,2,25,1,0,0,0,0,2,1,0,0,3,0,1,13,76.9,250.96,19.3,16,0.0,-233.16,-14.57,0,0,0,0,22,100.0,98.63,4.48,5,100.0,6.0,1.2,3,100.0,622.19,207.4,2,100.0,0.46,0.23,39,69.2,228.23,5.85,2,0.0,-396.31,-198.16,25,80.0,130.74,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,12.59,4.2
0.9,41.9,C-一般,牛市可,45.5,7.6,17.3,4.8,7.2,5,016186,广发电力ETF联接C,绿色电力,2022-08-19 ~ 2026-05-08,900,7.22,1.97,15.86,4.21,-8.64,7.81,15.36,2024-07-09,2024-09-11,398,0.38,0.25,0.749,5.91,-5.7,50.1,24,172,54.7,47.8,17.29,-16.26,1.06,0.01,-11.72,17.34,463.04,-158.26,17,20,24.2,99.0,1.0,18.0,8,52,681.78,9758.33,963.57,10721.9,2,15.28,31.98,0,0,0,6,-7.46,-13.64,0,899,1,0,9,1,16,0,0,52,2,0,1,0,1,0,2,1,0,7,1,4,0,50,9,27,2,0,0,0,0,3,1,1,0,6,0,0,16,75.0,209.4,13.09,52,0.0,-728.98,-14.02,0,0,0,0,7,100.0,19.5,2.79,1,100.0,4.71,4.71,4,100.0,277.06,69.27,0,0,0,0,50,84.0,970.36,19.41,9,0.0,-214.33,-23.81,27,81.5,108.68,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100.0,35.38,5.9
1.12,48.55,,,51.02,12.28,17.07,6.35,7.85,5.0,---,【绿色电力】平均,绿色电力,,,9.79,2.97,18.89,5.58,-9.1,7.4,14.43,,,376.5,0.54,0.41,0.7,6.19,-5.75,50.62,18.2,137.0,66.0,52.3,18.0,-23.69,0.76,0.07,-4.9,25.57,362.28,-206.39,12.0,21.25,31.72,98.92,1.07,28.57,20.0,90.0,962.11,,,10978.69,1.75,13.04,25.94,0.0,0.0,0.0,5.75,-3.06,-5.99,0.0,6.8,1.0,13.0,0.0,0.0,26.2,1.2,0.0,0.5,0.0,1.0,0.0,0.5,1.5,0.0,10.0,4.8,5.2,7.0,34.8,4.0,28.8,1.5,0.0,0.0,0.0,0.0,2.5,1.2,0.2,0.0,3.2,0.0,0.2,13.0,76.9,126.87,9.76,26.2,0.0,-366.87,-13.98,0.0,0.0,0.0,0.0,10.0,100.0,82.08,8.21,4.8,78.9,4.29,0.9,5.2,100.0,365.92,69.7,7.0,75.0,1.8,0.26,34.8,79.9,577.58,16.62,4.0,0.0,-267.91,-66.98,28.8,82.6,416.74,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,100.0,21.62,6.65
0.85,72.9,A-极佳,熊市优,140.1,30,24.9,3.2,4.8,10,017223,富国中证电池主题ETF发起式联接C,固态电池,2023-01-04 ~ 2026-05-08,808,38.36,10.66,27.39,7.84,10.97,10.46,51.51,2023-02-03,2024-08-23,405,1.0,1.02,1.403,12.86,-13.0,51.1,33,185,38.9,31.7,71.58,-13.21,5.42,-0.03,-11.9,21.08,2134.13,-385.03,50,22,16.2,96.7,3.3,10.6,5,51,3832.91,13817.2,18.44,13835.64,3,46.19,87.3,2,-0.89,-41.23,2,-7.09,-1.52,0,781,27,0,16,1,15,0,1,77,2,0,0,0,2,0,5,0,1,7,9,7,1,29,23,10,1,0,0,0,0,3,1,0,0,6,0,1,15,73.3,442.58,29.51,77,0.0,-345.24,-4.48,1,100.0,283.76,283.76,7,85.7,53.37,7.62,9,88.9,3.99,0.44,7,100.0,2612.28,373.18,1,100.0,1.45,1.45,29,82.8,843.35,29.08,23,0.0,-975.38,-42.41,10,90.0,886.1,88.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,83.3,26.65,4.44
0.8,52.3,C-一般,全天候/熊市优/震荡优,148.8,6.9,23.9,4.0,7.5,10,011705,东方阿尔法产业先锋混合C,固态电池,2021-10-27 ~ 2026-05-08,1100,17.18,3.7,-35.24,-9.48,52.42,16.11,66.38,2021-11-29,2024-02-05,690,0.44,0.23,1.493,13.0,-8.26,50.2,48,242,38.8,50.0,42.14,-18.9,2.23,-0.19,-36.04,17.33,678.57,-222.45,42,26,20.0,97.8,2.2,13.0,9,78,1257.94,7751.23,3966.38,11717.61,1,9.17,47.28,3,-13.16,-54.11,6,21.41,-20.91,0,1034,66,2,20,2,9,0,1,91,1,0,1,0,2,2,3,2,0,4,13,10,4,32,49,16,1,0,0,0,0,6,4,1,3,11,0,0,9,100.0,380.87,42.32,91,0.0,-997.98,-10.97,0,0,0,0,4,100.0,288.46,72.11,13,100.0,20.2,1.55,10,90.0,561.06,56.11,4,100.0,8.17,2.04,32,90.6,1297.66,40.55,49,0.0,-1699.13,-34.68,16,93.8,1275.97,79.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,-6.11,-2.04,11,100.0,128.77,11.71
0.95,61.4,B-良好,全天候/熊市优/震荡优,107.1,17.9,23.0,4.5,6.0,10,017074,嘉实清洁能源股票发起式C,固态电池,2023-02-07 ~ 2026-05-08,789,32.31,9.36,30.16,8.78,2.15,15.68,55.93,2023-02-09,2024-02-20,613,0.9,0.6,1.428,11.33,-13.28,52.1,27,175,41.1,40.0,54.05,-18.14,2.98,0.0,-14.84,40.03,1511.11,-272.19,62,18,22.4,98.4,1.6,10.4,7,56,2367.67,6039.71,7191.64,13231.35,3,42.93,107.88,3,-12.12,-58.47,1,1.15,4.81,0,750,39,0,10,4,11,1,0,64,0,0,1,0,0,0,2,2,0,12,1,5,2,24,26,27,0,0,0,1,0,4,2,1,0,2,0,0,11,81.8,219.8,19.98,64,0.0,-400.1,-6.25,0,0,0,0,12,100.0,223.04,18.59,1,0.0,0.0,0.0,5,100.0,363.43,72.69,2,50.0,175.57,87.78,24,83.3,611.53,25.48,26,0.0,-1106.2,-42.55,27,85.2,2161.31,80.05,0,0,0,0,0,0,0,0,1,0.0,-17.42,-17.42,0,0,0,0,0,0,0,0,2,100.0,136.71,68.36
0.85,55.6,B-良好,全天候/熊市优/震荡优,133.6,10.5,24.3,3.2,7.6,10,010032,华泰柏瑞新兴产业混合C,固态电池,2020-09-17 ~ 2026-05-08,1365,21.81,3.71,16.33,2.83,5.48,10.64,46.99,2021-12-13,2024-09-10,681,0.62,0.35,0.993,8.23,-8.1,51.1,39,188,47.3,50.7,32.45,-17.58,1.85,0.0,-13.91,28.72,858.9,-347.95,52,27,16.2,98.7,1.3,23.3,14,116,1376.54,4674.22,7506.81,12181.03,3,9.02,44.16,2,-3.81,-28.03,7,15.56,5.51,0,1347,18,0,20,2,19,0,1,66,2,0,1,0,2,0,1,1,1,11,0,7,0,10,22,42,2,0,0,0,1,3,2,1,0,9,0,1,19,68.4,74.05,3.9,66,0.0,-595.62,-9.02,1,100.0,3.61,3.61,11,81.8,244.78,22.25,0,0,0,0,7,100.0,532.33,76.05,0,0,0,0,10,100.0,1113.5,111.35,22,0.0,-863.91,-39.27,42,95.2,780.84,18.59,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-52.28,-52.28,0,0,0,0,9,100.0,139.24,15.47
0.85,47.5,C-一般,全天候/熊市优/震荡优,294.3,7.0,20.9,4.1,5.5,10,012863,汇添富中证电池主题ETF发起式联接C,固态电池,2021-09-15 ~ 2026-05-08,1123,27.79,5.66,-14.3,-3.4,42.09,24.23,66.88,2022-05-20,2024-02-05,805,0.58,0.23,1.525,12.84,-12.8,51.2,41,267,37.8,36.8,53.95,-18.44,2.93,-0.57,-27.75,13.42,1997.35,-263.65,44,29,20.5,98.0,2.0,11.3,7,37,2756.91,12635.47,143.13,12778.6,3,48.89,92.2,3,-22.58,-63.85,4,5.09,-17.72,0,1073,50,0,22,3,15,1,2,110,0,0,1,1,0,1,2,2,2,5,30,1,6,27,30,24,1,0,0,2,1,4,1,0,5,9,0,0,15,100.0,771.79,51.45,110,0.0,-1206.67,-10.97,2,50.0,222.06,111.03,5,100.0,109.48,21.9,30,80.0,175.72,5.86,1,100.0,83.59,83.59,6,83.3,6.05,1.01,27,81.5,61.75,2.29,30,0.0,-1234.65,-41.16,24,87.5,3937.02,164.04,0,0,0,0,0,0,0,0,2,0.0,-35.47,-17.73,1,0.0,-15.93,-15.93,5,0.0,-199.37,-39.87,9,77.8,81.54,9.06
